2025-10-07 02:14:02 | INFO     | CELERY | Final stats - Global vectors: 0, Document chunks: 12, Language: english
2025-10-07 02:24:48 | INFO     | CELERY | 🚀 Starting admin PDF processing task for document 2
2025-10-07 02:24:48 | INFO     | CELERY | 📋 Task ID: d8619ac8-988e-4b42-9996-d842d2704d13
2025-10-07 02:24:48 | INFO     | CELERY | 📄 File: FALLSEM2025-26_VL_BCSE409L_00100_TH_2025-09-30_Word2vec.pdf
2025-10-07 02:24:48 | INFO     | CELERY | 📂 Path: D:\VITBOT\backend\app\routers\../../uploads/admin_documents\20251007_022445_FALLSEM2025-26_VL_BCSE409L_00100_TH_2025-09-30_Word2vec.pdf
2025-10-07 02:24:48 | INFO     | CELERY | ⚡ Using cached embeddings model - fast loading!
2025-10-07 02:24:49 | INFO     | CELERY | 🚀 DocumentProcessor initialized with English support
2025-10-07 02:24:49 | INFO     | CELERY | Loading and extracting text from admin PDF...
2025-10-07 02:24:50 | INFO     | CELERY | 📝 Detected language: english
2025-10-07 02:24:50 | INFO     | CELERY | 📊 Text stats: 8292 chars, English: 96.2%
2025-10-07 02:24:50 | INFO     | CELERY | Admin PDF text extracted - 8285 characters from 8 pages, Language: english
2025-10-07 02:24:50 | INFO     | CELERY | Splitting english text into chunks...
2025-10-07 02:24:50 | INFO     | CELERY | Text split into 12 chunks for admin document
2025-10-07 02:24:50 | INFO     | CELERY | Adding chunks directly to global vector store...
2025-10-07 02:24:50 | INFO     | CELERY | Document chunks table created successfully
2025-10-07 02:24:50 | INFO     | CELERY | Loaded existing global vector store with 12 vectors
2025-10-07 02:24:51 | INFO     | CELERY | Added 12 chunks from document 2 to global store
2025-10-07 02:24:51 | INFO     | CELERY | Global store now has 24 total vectors
2025-10-07 02:24:51 | INFO     | CELERY | Added 12 chunks for document 2
2025-10-07 02:24:51 | INFO     | CELERY | Loaded existing global vector store with 24 vectors
2025-10-07 02:24:51 | ERROR    | CELERY | Error getting global chunk count: 0
2025-10-07 02:24:51 | ERROR    | CELERY | Error getting global store stats: 0
2025-10-07 02:24:51 | INFO     | CELERY | Global vector store updated - Total vectors: 0, Total documents: 0
2025-10-07 02:24:51 | INFO     | CELERY | Finalizing admin document processing...
2025-10-07 02:24:51 | INFO     | CELERY | Cleared global vector store cache
2025-10-07 02:24:51 | INFO     | CELERY | Cleared 0 combined user caches due to global cache update
2025-10-07 02:24:51 | INFO     | CELERY | Cleared global cache after admin document processing
2025-10-07 02:24:51 | INFO     | CELERY | Admin PDF processing completed successfully for document 2
2025-10-07 02:24:51 | INFO     | CELERY | Final stats - Global vectors: 0, Document chunks: 12, Language: english
2025-10-07 02:25:36 | INFO     | CELERY | 🚀 Starting admin PDF processing task for document 1
2025-10-07 02:25:36 | INFO     | CELERY | 📋 Task ID: de06687d-274c-4a59-804f-5b3571069577
2025-10-07 02:25:36 | INFO     | CELERY | 📄 File: research paper - whispering Llama.pdf
2025-10-07 02:25:36 | INFO     | CELERY | 📂 Path: D:\VITBOT\backend\app\routers\../../uploads/admin_documents\20251007_022506_research_paper_-_whispering_Llama.pdf
2025-10-07 02:25:36 | INFO     | CELERY | ⚡ Using cached embeddings model - fast loading!
2025-10-07 02:25:37 | INFO     | CELERY | 🚀 DocumentProcessor initialized with English support
2025-10-07 02:25:37 | INFO     | CELERY | Loading and extracting text from admin PDF...
2025-10-07 02:25:37 | INFO     | CELERY | 📝 Detected language: english
2025-10-07 02:25:37 | INFO     | CELERY | 📊 Text stats: 39909 chars, English: 88.6%
2025-10-07 02:25:37 | INFO     | CELERY | Admin PDF text extracted - 39900 characters from 10 pages, Language: english
2025-10-07 02:25:37 | INFO     | CELERY | Splitting english text into chunks...
2025-10-07 02:25:37 | INFO     | CELERY | Text split into 53 chunks for admin document
2025-10-07 02:25:37 | INFO     | CELERY | Adding chunks directly to global vector store...
2025-10-07 02:25:37 | INFO     | CELERY | Document chunks table created successfully
